Water?,Headers,#,Area,20%,20%,10%,10%,10%,10%,5%,5%,4%,4%,1%,1%,Level,Typing,Completed,Time
,,74.2,Dark Cave 2,GASTLY,ZIGZAGOON_GALARIAN,HAUNTER,WOBBUFFET,LINOONE_GALARIAN,MIGHTYENA,RATICATE_ALOLAN,RATICATE_ALOLAN,MAWILE,MAWILE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,26,Cave,TRUE,Night
,,75.0,ISLAND CAVE AREA 1,BONSLY,SANDSHREW,CARKOL,MINIOR,SANDSHREW,HONEDGE,SCYTHER,SCYTHER,HITMONLEE,HITMONLEE,CAMERUPT,CAMERUPT,26,Cave,TRUE,Morn
,,75.1,ISLAND CAVE AREA 1,BONSLY,SANDSHREW,CARKOL,MINIOR,SANDSLASH,HONEDGE,SCYTHER,SCYTHER,HITMONLEE,HITMONLEE,CAMERUPT,CAMERUPT,26,Cave,TRUE,Day
,,75.2,ISLAND CAVE AREA 1,BONSLY,SANDSHREW,CARKOL,MINIOR,SANDSLASH,HONEDGE,SCYTHER,SCYTHER,HITMONLEE,HITMONLEE,CAMERUPT,CAMERUPT,26,Cave,TRUE,Night
,,76.0,ISLAND CAVE AREA 2,ZUBAT,ARON,GLIMMET,CHIMECHO,GOLBAT,ESPURR,PINSIR,PINSIR,HITMONCHAN,HITMONCHAN,MEOWSTIC_FEMALE,MEOWSTIC,26,Cave,TRUE,Morn
,,76.1,ISLAND CAVE AREA 2,ZUBAT,ARON,GLIMMET,CHIMECHO,GOLBAT,ESPURR,PINSIR,PINSIR,HITMONCHAN,HITMONCHAN,MEOWSTIC_FEMALE,MEOWSTIC,26,Cave,TRUE,Day
,,76.2,ISLAND CAVE AREA 2,ZUBAT,ARON,GLIMMET,CHIMECHO,GOLBAT,ESPURR,PINSIR,PINSIR,HITMONCHAN,HITMONCHAN,MEOWSTIC_FEMALE,MEOWSTIC,26,Cave,TRUE,Night
,,77.0,ISLAND CAVE AREA 3,MASCHIFF,SANDSHREW,BOLDORE,MINIOR,SANDSHREW,NOSEPASS,HERACROSS,HERACROSS,HITMONTOP,HITMONTOP,DURANT,DURANT,26,Cave,TRUE,Morn
,,77.1,ISLAND CAVE AREA 3,MASCHIFF,SANDSHREW,BOLDORE,MINIOR,SANDSLASH,NOSEPASS,HERACROSS,HERACROSS,HITMONTOP,HITMONTOP,DURANT,DURANT,26,Cave,TRUE,Day
,,77.2,ISLAND CAVE AREA 3,MASCHIFF,SANDSHREW,BOLDORE,MINIOR,SANDSLASH,NOSEPASS,HERACROSS,HERACROSS,HITMONTOP,HITMONTOP,DURANT,DURANT,26,Cave,TRUE,Night
,,78.0,ISLAND 2 AREA 1,PONYTA,PHANPY,RHYHORN,WORMADAM_SANDY,SHROODLE,DIGGERSBY,SANDILE,TRAPINCH,SANDILE,TRAPINCH,SANDILE,TRAPINCH,26,Mountain,TRUE,Morn
,,78.1,ISLAND 2 AREA 1,PONYTA,PHANPY,RHYHORN,WORMADAM_SANDY,SHROODLE,DIGGERSBY,SANDILE,TRAPINCH,SANDILE,TRAPINCH,SANDILE,TRAPINCH,26,Mountain,TRUE,Day
,,78.2,ISLAND 2 AREA 1,PONYTA,PHANPY,RHYHORN,WORMADAM_SANDY,SHROODLE,DIGGERSBY,SANDILE,TRAPINCH,SANDILE,TRAPINCH,SANDILE,TRAPINCH,26,Mountain,TRUE,Night
,,79.0,ISLAND 2 AREA 2,MANKEY,ROLYCOLY,MUDBRAY,CARKOL,SPIDOPS,DUGTRIO,LOUDRED,LOUDRED,PRIMEAPE,PRIMEAPE,ANNIHILAPE,ANNIHILAPE,26,Mountain,TRUE,Morn
,,79.1,ISLAND 2 AREA 2,MANKEY,ROLYCOLY,MUDBRAY,CARKOL,SPIDOPS,DUGTRIO,LOUDRED,LOUDRED,PRIMEAPE,PRIMEAPE,ANNIHILAPE,ANNIHILAPE,26,Mountain,TRUE,Day
,,79.2,ISLAND 2 AREA 2,MANKEY,ROLYCOLY,MUDBRAY,CARKOL,SPIDOPS,DUGTRIO,LOUDRED,LOUDRED,PRIMEAPE,PRIMEAPE,ANNIHILAPE,ANNIHILAPE,26,Mountain,TRUE,Night
,,80.0,ISLAND 2 AREA 3,ONIX,GEODUDE,HIPPOPOTAS,GRAVELER,SHROODLE,DUGTRIO_ALOLAN,KRICKETUNE,KRICKETUNE,ARIADOS,ARIADOS,MASQUERAIN,MASQUERAIN,26,Mountain,TRUE,Morn
,,80.1,ISLAND 2 AREA 3,ONIX,GEODUDE,HIPPOPOTAS,GRAVELER,SHROODLE,DUGTRIO_ALOLAN,KRICKETUNE,KRICKETUNE,ARIADOS,ARIADOS,MASQUERAIN,MASQUERAIN,26,Mountain,TRUE,Day
,,80.2,ISLAND 2 AREA 3,ONIX,GEODUDE,HIPPOPOTAS,GRAVELER,SHROODLE,DUGTRIO_ALOLAN,KRICKETUNE,KRICKETUNE,ARIADOS,ARIADOS,MASQUERAIN,MASQUERAIN,26,Mountain,TRUE,Night
,,81.0,ISLAND 2 AREA 4,SWADLOON,GEODUDE_ALOLAN,SUDOWOODO,GRAVELER_ALOLAN,PARASECT,RATICATE,RABSCA,RABSCA,ORICORIO_SENSU,ORICORIO_SENSU,COMFEY,COMFEY,26,Mountain,TRUE,Morn
,,81.1,ISLAND 2 AREA 4,SWADLOON,GEODUDE_ALOLAN,SUDOWOODO,GRAVELER_ALOLAN,PARASECT,RATICATE,RABSCA,RABSCA,ORICORIO_SENSU,ORICORIO_SENSU,COMFEY,COMFEY,26,Mountain,TRUE,Day
,,81.2,ISLAND 2 AREA 4,SWADLOON,GEODUDE_ALOLAN,SUDOWOODO,GRAVELER_ALOLAN,PARASECT,RATICATE,RABSCA,RABSCA,ORICORIO_SENSU,ORICORIO_SENSU,COMFEY,COMFEY,26,Mountain,TRUE,Night
,,82.0,ISLAND 3 AREA 1,PONYTA_GALARIAN,ESPURR,SWOOBAT,GIRAFARIG,TROPIUS,INDEEDEE,TOGEPI,TOGEPI,ORICORIO_PAU,ORICORIO_PAU,TOGETIC,TOGETIC,28,Mystical,TRUE,Morn
,,82.1,ISLAND 3 AREA 1,PONYTA_GALARIAN,ESPURR,SWOOBAT,GIRAFARIG,TROPIUS,INDEEDEE,TOGEPI,TOGEPI,ORICORIO_PAU,ORICORIO_PAU,TOGETIC,TOGETIC,28,Mystical,TRUE,Day
,,82.2,ISLAND 3 AREA 1,PONYTA_GALARIAN,ESPURR,SWOOBAT,GIRAFARIG,TROPIUS,INDEEDEE,TOGEPI,TOGEPI,ORICORIO_PAU,ORICORIO_PAU,TOGETIC,TOGETIC,28,Mystical,TRUE,Night
,,83.0,ISLAND 3 AREA 2,HOPPIP,FIDOUGH,ELECTRIKE,DACHSBUN,RIBOMBEE,INDEEDEE_FEMALE,SKIPLOOM,JUMPLUFF,ORICORIO_POM_POM,ORICORIO_POM_POM,MANECTRIC,MANECTRIC,28,Mystical,TRUE,Morn
,,83.1,ISLAND 3 AREA 2,HOPPIP,FIDOUGH,ELECTRIKE,DACHSBUN,RIBOMBEE,INDEEDEE_FEMALE,SKIPLOOM,JUMPLUFF,ORICORIO_POM_POM,ORICORIO_POM_POM,MANECTRIC,MANECTRIC,28,Mystical,TRUE,Day
,,83.2,ISLAND 3 AREA 2,HOPPIP,FIDOUGH,ELECTRIKE,DACHSBUN,RIBOMBEE,INDEEDEE_FEMALE,SKIPLOOM,JUMPLUFF,ORICORIO_POM_POM,ORICORIO_POM_POM,MANECTRIC,MANECTRIC,28,Mystical,TRUE,Night
,,84.0,ISLAND 4 AREA 1,BIBAREL,BUTTERFREE,BEEDRILL,MILTANK,GLOOM,WORMADAM,NUZLEAF,NUZLEAF,VESPIQUEN,VESPIQUEN,SHIFTRY,SHIFTRY,28,Plain,TRUE,Morn
,,84.1,ISLAND 4 AREA 1,BIBAREL,BUTTERFREE,BEEDRILL,MILTANK,GLOOM,WORMADAM,NUZLEAF,NUZLEAF,VESPIQUEN,VESPIQUEN,SHIFTRY,SHIFTRY,28,Plain,TRUE,Day
,,84.2,ISLAND 4 AREA 1,BIBAREL,BUTTERFREE,BEEDRILL,MILTANK,GLOOM,WORMADAM,NUZLEAF,NUZLEAF,VESPIQUEN,VESPIQUEN,SHIFTRY,SHIFTRY,28,Plain,TRUE,Night
,TBD,85.0,ISLAND 4 AREA 2,APPLIN,VIVILLON,FLOETTE,DELCATTY,WEEPINBELL,YANMA,APPLETUN,FLAPPLE,KLAWF,KLAWF,ELECTRODE,ELECTRODE,30,Plain,TRUE,Morn
,,85.1,ISLAND 4 AREA 2,APPLIN,VIVILLON,FLOETTE,DELCATTY,WEEPINBELL,YANMA,APPLETUN,FLAPPLE,KLAWF,KLAWF,ELECTRODE,ELECTRODE,30,Plain,TRUE,Day
,,85.2,ISLAND 4 AREA 2,APPLIN,VIVILLON,FLOETTE,DELCATTY,WEEPINBELL,YANMA,APPLETUN,FLAPPLE,KLAWF,KLAWF,ELECTRODE,ELECTRODE,30,Plain,TRUE,Night
,TBD,86.0,ISLAND 4 AREA 3,STEENEE,BEAUTIFLY,DUSTOX,LINOONE,SUNFLORA,MOTHIM,SHIINOTIC,SHIINOTIC,PERSIAN,PERSIAN,TSAREENA,TSAREENA,28,Plain,TRUE,Morn
,,86.1,ISLAND 4 AREA 3,STEENEE,BEAUTIFLY,DUSTOX,LINOONE,SUNFLORA,MOTHIM,SHIINOTIC,SHIINOTIC,PERSIAN,PERSIAN,TSAREENA,TSAREENA,28,Plain,TRUE,Day
,,86.2,ISLAND 4 AREA 3,STEENEE,BEAUTIFLY,DUSTOX,LINOONE,SUNFLORA,MOTHIM,SHIINOTIC,SHIINOTIC,PERSIAN,PERSIAN,TSAREENA,TSAREENA,28,Plain,TRUE,Night
,TBD,87.0,ISLAND 5 AREA 1,CUBONE,MACHOP,GLIGAR,MACHOKE,GUMSHOOS,CUBONE,MAROWAK,MAROWAK,TRAPINCH,TRAPINCH,VIBRAVA,VIBRAVA,29,Mountain,TRUE,Morn
,,87.1,ISLAND 5 AREA 1,CUBONE,MACHOP,GLIGAR,MACHOKE,GUMSHOOS,CUBONE,MAROWAK,MAROWAK,TRAPINCH,TRAPINCH,VIBRAVA,VIBRAVA,29,Mountain,TRUE,Day
,,87.2,ISLAND 5 AREA 1,CUBONE,MACHOP,GLIGAR,MACHOKE,GUMSHOOS,CUBONE,MAROWAK,MAROWAK,TRAPINCH,TRAPINCH,VIBRAVA,VIBRAVA,29,Mountain,TRUE,Night
,TBD,88.0,ISLAND 5 AREA 2,SLUGMA,TIMBURR,WATCHOG,GURDURR,MAGCARGO,CUBONE,MAROWAK_ALOLAN,MAROWAK_ALOLAN,SANDILE,SANDILE,KROKOROK,KROKOROK,29,Mountain,TRUE,Morn
,,88.1,ISLAND 5 AREA 2,SLUGMA,TIMBURR,WATCHOG,GURDURR,MAGCARGO,CUBONE,MAROWAK_ALOLAN,MAROWAK_ALOLAN,SANDILE,SANDILE,KROKOROK,KROKOROK,29,Mountain,TRUE,Day
,,88.2,ISLAND 5 AREA 2,SLUGMA,TIMBURR,WATCHOG,GURDURR,MAGCARGO,CUBONE,MAROWAK_ALOLAN,MAROWAK_ALOLAN,SANDILE,SANDILE,KROKOROK,KROKOROK,29,Mountain,TRUE,Night
,TBD,89.0,ISLAND 6 AREA 1,GRAFAIAI,ARBOK,WEEZING,ARAQUANID,SNEASEL_HISUIAN,WORMADAM_TRASHY,TOXAPEX,DRAPION,NIDOQUEEN,SLOWBRO_GALARIAN,SLOWBRO_GALARIAN,SLOWBRO_GALARIAN,37,Swamp,TRUE,Morn
,,89.1,ISLAND 6 AREA 1,GRAFAIAI,ARBOK,WEEZING,ARAQUANID,SNEASEL_HISUIAN,WORMADAM_TRASHY,TOXAPEX,DRAPION,NIDOQUEEN,SLOWBRO_GALARIAN,SLOWBRO_GALARIAN,SLOWBRO_GALARIAN,37,Swamp,TRUE,Day
,,89.2,ISLAND 6 AREA 1,GRAFAIAI,ARBOK,WEEZING,ARAQUANID,SNEASEL_HISUIAN,WORMADAM_TRASHY,TOXAPEX,DRAPION,NIDOQUEEN,SLOWBRO_GALARIAN,SLOWBRO_GALARIAN,SLOWBRO_GALARIAN,37,Swamp,TRUE,Night
,TBD,90.0,ISLAND 6 AREA 2,SWALOT,SEVIPER,WEEZING_GALARIAN,TOXICROAK,GASTRODON_EAST_SEA,SKUNTANK,GARBODOR,SEISMITOAD,NIDOKING,SLOWKING_GALARIAN,SLOWKING_GALARIAN,SLOWKING_GALARIAN,37,Swamp,TRUE,Morn
,,90.1,ISLAND 6 AREA 2,SWALOT,SEVIPER,WEEZING_GALARIAN,TOXICROAK,GASTRODON_EAST_SEA,SKUNTANK,GARBODOR,SEISMITOAD,NIDOKING,SLOWKING_GALARIAN,SLOWKING_GALARIAN,SLOWKING_GALARIAN,37,Swamp,TRUE,Day
,,90.2,ISLAND 6 AREA 2,SWALOT,SEVIPER,WEEZING_GALARIAN,TOXICROAK,GASTRODON_EAST_SEA,SKUNTANK,GARBODOR,SEISMITOAD,NIDOKING,SLOWKING_GALARIAN,SLOWKING_GALARIAN,SLOWKING_GALARIAN,37,Swamp,TRUE,Night
,TBD,91.0,ISLAND 7 AREA 1,LIEPARD,SMEARGLE,SHEDINJA,MORGREM,FEAROW,WOBBUFFET,FOONGUS,FOONGUS,KLANG,KLANG,AMOONGUSS,AMOONGUSS,40,Plain,TRUE,Morn
,,91.1,ISLAND 7 AREA 1,LIEPARD,SMEARGLE,SHEDINJA,MORGREM,FEAROW,WOBBUFFET,FOONGUS,FOONGUS,KLANG,KLANG,AMOONGUSS,AMOONGUSS,40,Plain,TRUE,Day
,,91.2,ISLAND 7 AREA 1,LIEPARD,SMEARGLE,SHEDINJA,MORGREM,FEAROW,WOBBUFFET,FOONGUS,FOONGUS,KLANG,KLANG,AMOONGUSS,AMOONGUSS,40,Plain,TRUE,Night
,TBD,92.0,ISLAND 7 AREA 2,RAICHU,JIGGLYPUFF,GOLDUCK,WIGGLYTUFF,DHELMISE,HAWLUCHA,DHELMISE,HAWLUCHA,EELEKTRIK,EELEKTRIK,HAWLUCHA,HAWLUCHA,40,Plain,TRUE,Morn
,,92.1,ISLAND 7 AREA 2,RAICHU,JIGGLYPUFF,GOLDUCK,WIGGLYTUFF,DHELMISE,HAWLUCHA,DHELMISE,HAWLUCHA,EELEKTRIK,EELEKTRIK,HAWLUCHA,HAWLUCHA,40,Plain,TRUE,Day
,,92.2,ISLAND 7 AREA 2,RAICHU,JIGGLYPUFF,GOLDUCK,WIGGLYTUFF,DHELMISE,HAWLUCHA,DHELMISE,HAWLUCHA,EELEKTRIK,EELEKTRIK,HAWLUCHA,HAWLUCHA,40,Plain,TRUE,Night
,TBD,93.0,ISLAND 7 AREA 3,HITMONLEE,ORICORIO_SENSU,TAUROS_COMBAT,LEAVANNY,CHIMECHO,LINOONE,TAUROS_COMBAT,ARBOLIVA,FRAXURE,FRAXURE,ARBOLIVA,ARBOLIVA,40,Plain,TRUE,Morn
,,93.1,ISLAND 7 AREA 3,HITMONLEE,ORICORIO_SENSU,TAUROS_COMBAT,LEAVANNY,CHIMECHO,LINOONE,TAUROS_COMBAT,ARBOLIVA,FRAXURE,FRAXURE,ARBOLIVA,ARBOLIVA,40,Plain,TRUE,Day
,,93.2,ISLAND 7 AREA 3,HITMONLEE,ORICORIO_SENSU,TAUROS_COMBAT,LEAVANNY,CHIMECHO,LINOONE,TAUROS_COMBAT,ARBOLIVA,FRAXURE,FRAXURE,ARBOLIVA,ARBOLIVA,40,Plain,TRUE,Night
,TBD,94.0,ISLAND 7 AREA 4,HITMONCHAN,ORICORIO_PAU,TAUROS_AQUA,LUXRAY,TROPIUS,PORYGON,TAUROS_AQUA,TSAREENA,GALVANTULA,GALVANTULA,TSAREENA,TSAREENA,40,Plain,TRUE,Morn
,,94.1,ISLAND 7 AREA 4,HITMONCHAN,ORICORIO_PAU,TAUROS_AQUA,LUXRAY,TROPIUS,PORYGON,TAUROS_AQUA,TSAREENA,GALVANTULA,GALVANTULA,TSAREENA,TSAREENA,40,Plain,TRUE,Day
,,94.2,ISLAND 7 AREA 4,HITMONCHAN,ORICORIO_PAU,TAUROS_AQUA,LUXRAY,TROPIUS,PORYGON,TAUROS_AQUA,TSAREENA,GALVANTULA,GALVANTULA,TSAREENA,TSAREENA,40,Plain,TRUE,Night
,TBD,95.0,ISLAND 7 AREA 5,HITMONTOP,ORICORIO_POM_POM,TAUROS_BLAZE,ELDEGOSS,ELDEGOSS,MABOSSTIFF,TAUROS_BLAZE,MABOSSTIFF,ESCAVALIER,ACCELGOR,ELECTRODE_HISUIAN,ELECTRODE_HISUIAN,40,Plain,TRUE,Morn
,,95.1,ISLAND 7 AREA 5,HITMONTOP,ORICORIO_POM_POM,TAUROS_BLAZE,ELDEGOSS,ELDEGOSS,MABOSSTIFF,TAUROS_BLAZE,MABOSSTIFF,ESCAVALIER,ACCELGOR,ELECTRODE_HISUIAN,ELECTRODE_HISUIAN,40,Plain,TRUE,Day
,,95.2,ISLAND 7 AREA 5,HITMONTOP,ORICORIO_POM_POM,TAUROS_BLAZE,ELDEGOSS,ELDEGOSS,MABOSSTIFF,TAUROS_BLAZE,MABOSSTIFF,ESCAVALIER,ACCELGOR,ELECTRODE_HISUIAN,ELECTRODE_HISUIAN,40,Plain,TRUE,Night
,TBD,96.0,ISLAND 7 AREA 6,PURUGLY,COTTONEE,KLAWF,KILOWATTREL,DUSKNOIR,CAPSAKID,ORBEETLE,ORBEETLE,WHIMSICOTT,WHIMSICOTT,VAROOM,VAROOM,40,Plain,TRUE,Morn
,,96.1,ISLAND 7 AREA 6,PURUGLY,COTTONEE,KLAWF,KILOWATTREL,DUSKNOIR,CAPSAKID,ORBEETLE,ORBEETLE,WHIMSICOTT,WHIMSICOTT,VAROOM,VAROOM,40,Plain,TRUE,Day
,,96.2,ISLAND 7 AREA 6,PURUGLY,COTTONEE,KLAWF,KILOWATTREL,DUSKNOIR,CAPSAKID,ORBEETLE,ORBEETLE,WHIMSICOTT,WHIMSICOTT,VAROOM,VAROOM,40,Plain,TRUE,Night
,TBD,97.0,ISLAND 8 AREA 1,DELCATTY,RAICHU_ALOLAN,PONYTA_GALARIAN,TRANQUILL,MEOWSTIC_FEMALE,MARACTUS,GOTHORITA,TYPE_NULL,UNFEZANT,UNFEZANT,RAPIDASH_GALARIAN,RAPIDASH_GALARIAN,40,Plain Flowery,TRUE,Morn
,,97.1,ISLAND 8 AREA 1,DELCATTY,RAICHU_ALOLAN,PONYTA_GALARIAN,TRANQUILL,MEOWSTIC_FEMALE,MARACTUS,GOTHORITA,TYPE_NULL,UNFEZANT,UNFEZANT,RAPIDASH_GALARIAN,RAPIDASH_GALARIAN,40,Plain Flowery,TRUE,Day
,,97.2,ISLAND 8 AREA 1,DELCATTY,RAICHU_ALOLAN,PONYTA_GALARIAN,TRANQUILL,MEOWSTIC_FEMALE,MARACTUS,GOTHORITA,TYPE_NULL,UNFEZANT,UNFEZANT,RAPIDASH_GALARIAN,RAPIDASH_GALARIAN,40,Plain Flowery,TRUE,Night
,TBD,98.0,ISLAND 8 AREA 2,BUNEARY,ODDISH,COMFEY,GLOOM,MEOWSTIC,AUDINO,DUOSION,SCREAM_TAIL,LOPUNNY,LOPUNNY,BELLOSSOM,BELLOSSOM,40,Plain Flowery,TRUE,Morn
,,98.1,ISLAND 8 AREA 2,BUNEARY,ODDISH,COMFEY,GLOOM,MEOWSTIC,AUDINO,DUOSION,SCREAM_TAIL,LOPUNNY,LOPUNNY,BELLOSSOM,BELLOSSOM,40,Plain Flowery,TRUE,Day
,,98.2,ISLAND 8 AREA 2,BUNEARY,ODDISH,COMFEY,GLOOM,MEOWSTIC,AUDINO,DUOSION,SCREAM_TAIL,LOPUNNY,LOPUNNY,BELLOSSOM,BELLOSSOM,40,Plain Flowery,TRUE,Night
,TBD,99.0,ISLAND 9 AREA 1,SANDSHREW_ALOLAN,SPHEAL,DARUMAKA_GALARIAN,ABOMASNOW,VANILLISH,CRYOGONAL,SEALEO,SEALEO,WALREIN,NINETALES_ALOLAN,DARMANITAN_GALARIAN,DARMANITAN_GALARIAN,40,Ice,TRUE,Morn
,,99.1,ISLAND 9 AREA 1,SANDSHREW_ALOLAN,SPHEAL,DARUMAKA_GALARIAN,ABOMASNOW,VANILLISH,CRYOGONAL,SEALEO,SEALEO,WALREIN,NINETALES_ALOLAN,DARMANITAN_GALARIAN,DARMANITAN_GALARIAN,40,Ice,TRUE,Day
,,99.2,ISLAND 9 AREA 1,SANDSHREW_ALOLAN,SPHEAL,DARUMAKA_GALARIAN,ABOMASNOW,VANILLISH,CRYOGONAL,SEALEO,SEALEO,WALREIN,NINETALES_ALOLAN,DARMANITAN_GALARIAN,DARMANITAN_GALARIAN,40,Ice,TRUE,Night
,TBD,100.0,ISLAND 9 AREA 2,CASTFORM,SNORUNT,BERGMITE,BEARTIC,CETODDLE,JYNX,CETITAN,AVALUGG,AVALUGG_HISUIAN,FROSLASS,GLALIE,GLALIE,40,Ice,TRUE,Morn
,,100.1,ISLAND 9 AREA 2,CASTFORM,SNORUNT,BERGMITE,BEARTIC,CETODDLE,JYNX,CETITAN,AVALUGG,AVALUGG_HISUIAN,FROSLASS,GLALIE,GLALIE,40,Ice,TRUE,Day
,,100.2,ISLAND 9 AREA 2,CASTFORM,SNORUNT,BERGMITE,BEARTIC,CETODDLE,JYNX,CETITAN,AVALUGG,AVALUGG_HISUIAN,FROSLASS,GLALIE,GLALIE,40,Ice,TRUE,Night
,TBD,101.0,ISLAND 9 AREA 3,BEARTIC,PILOSWINE,MR_MIME_GALARIAN,MR_RIME,WEAVILE,VANILLISH,GLACEON,FROSMOTH,FROSMOTH,VANILLUXE,MAMOSWINE,MAMOSWINE,40,Ice,TRUE,Morn
,,101.1,ISLAND 9 AREA 3,BEARTIC,PILOSWINE,MR_MIME_GALARIAN,MR_RIME,WEAVILE,VANILLISH,GLACEON,FROSMOTH,FROSMOTH,VANILLUXE,MAMOSWINE,MAMOSWINE,40,Ice,TRUE,Day
,,101.2,ISLAND 9 AREA 3,BEARTIC,PILOSWINE,MR_MIME_GALARIAN,MR_RIME,WEAVILE,VANILLISH,GLACEON,FROSMOTH,FROSMOTH,VANILLUXE,MAMOSWINE,MAMOSWINE,40,Ice,TRUE,Night
,,102.0,ROUTE 9 AREA 1,BUIZEL,LILLIPUP,GULPIN,RIBOMBEE,STARLY,SKITTY,MAWILE,MAWILE,AUDINO,AUDINO,DELCATTY,DELCATTY,23,Plain,TRUE,Morn
,,102.1,ROUTE 9 AREA 1,BUIZEL,LILLIPUP,GULPIN,RIBOMBEE,STARLY,SKITTY,MAWILE,MAWILE,AUDINO,AUDINO,DELCATTY,DELCATTY,23,Plain,TRUE,Day
,,102.2,ROUTE 9 AREA 1,BUIZEL,LILLIPUP,GULPIN,RIBOMBEE,STARLY,SKITTY,MAWILE,MAWILE,AUDINO,AUDINO,DELCATTY,DELCATTY,23,Plain,TRUE,Night
,,103.0,ROUTE 9 AREA 2,CORPHISH,GOSSIFLEUR,PICHU,MISDREAVUS,WHIRLIPEDE,PANCHAM,MIGHTYENA,MIGHTYENA,MAREANIE,MAREANIE,MISMAGIUS,MISMAGIUS,23,Plain,TRUE,Morn
,,103.1,ROUTE 9 AREA 2,CORPHISH,GOSSIFLEUR,PICHU,MISDREAVUS,WHIRLIPEDE,PANCHAM,MIGHTYENA,MIGHTYENA,MAREANIE,MAREANIE,MISMAGIUS,MISMAGIUS,23,Plain,TRUE,Day
,,103.2,ROUTE 9 AREA 2,CORPHISH,GOSSIFLEUR,PICHU,MISDREAVUS,WHIRLIPEDE,PANCHAM,MIGHTYENA,MIGHTYENA,MAREANIE,MAREANIE,MISMAGIUS,MISMAGIUS,23,Plain,TRUE,Night
,,104.0,ROUTE 9 AREA 3,PHANTUMP,PUMPKABOO,SANDYGAST,NIDORINO,NIDORINA,STUFFUL,SABLEYE,SABLEYE,CORVISQUIRE,CORVISQUIRE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,23,Plain,TRUE,Morn
,,104.1,ROUTE 9 AREA 3,PHANTUMP,PUMPKABOO,SANDYGAST,NIDORINO,NIDORINA,STUFFUL,SABLEYE,SABLEYE,CORVISQUIRE,CORVISQUIRE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,23,Plain,TRUE,Day
,,104.2,ROUTE 9 AREA 3,PHANTUMP,PUMPKABOO,SANDYGAST,NIDORINO,NIDORINA,STUFFUL,SABLEYE,SABLEYE,CORVISQUIRE,CORVISQUIRE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,23,Plain,TRUE,Night
,,105.0,ROUTE 9 AREA 4,CRABRAWLER,CUBONE,PAWMI,STEENEE,GOSSIFLEUR,MUDBRAY,SILICOBRA,SILICOBRA,TRUMBEAK,TRUMBEAK,PAWMO,PAWMO,23,Plain,TRUE,Morn
,,105.1,ROUTE 9 AREA 4,CRABRAWLER,CUBONE,PAWMI,STEENEE,GOSSIFLEUR,MUDBRAY,SILICOBRA,SILICOBRA,TRUMBEAK,TRUMBEAK,PAWMO,PAWMO,23,Plain,TRUE,Day
,,105.2,ROUTE 9 AREA 4,CRABRAWLER,CUBONE,PAWMI,STEENEE,GOSSIFLEUR,MUDBRAY,SILICOBRA,SILICOBRA,TRUMBEAK,TRUMBEAK,PAWMO,PAWMO,23,Plain,TRUE,Night
,,106.0,ROUTE 9 AREA 5,PIKACHU,CASTFORM,MAGNEMITE,CHERUBI,LEDYBA,CHATOT,GOTHITA,GOTHITA,ELGYEM,ELGYEM,TOGETIC,TOGETIC,23,Plain,TRUE,Morn
,,106.1,ROUTE 9 AREA 5,PIKACHU,CASTFORM,MAGNEMITE,CHERUBI,LEDYBA,CHATOT,GOTHITA,GOTHITA,ELGYEM,ELGYEM,TOGETIC,TOGETIC,23,Plain,TRUE,Day
,,106.2,ROUTE 9 AREA 5,PIKACHU,CASTFORM,MAGNEMITE,CHERUBI,LEDYBA,CHATOT,GOTHITA,GOTHITA,ELGYEM,ELGYEM,TOGETIC,TOGETIC,23,Plain,TRUE,Night
,,107.0,ROUTE 10 AREA 1,KECLEON,BALTOY,SANDILE,TRAPINCH,MARILL,DODRIO,JIGGLYPUFF,KADABRA,MUDBRAY,MUDBRAY,AZUMARILL,AZUMARILL,25,Plain,TRUE,Morn
,,107.1,ROUTE 10 AREA 1,KECLEON,BALTOY,SANDILE,TRAPINCH,MARILL,DODRIO,JIGGLYPUFF,KADABRA,MUDBRAY,MUDBRAY,AZUMARILL,AZUMARILL,25,Plain,TRUE,Day
,,107.2,ROUTE 10 AREA 1,KECLEON,BALTOY,SANDILE,TRAPINCH,MARILL,DODRIO,JIGGLYPUFF,KADABRA,MUDBRAY,MUDBRAY,AZUMARILL,AZUMARILL,25,Plain,TRUE,Night
,,108.0,ROUTE 10 AREA 2,COTTONEE,PETILIL,FURRET,DRIFLOON,ALOLAN_RATICATE,HERDIER,LOUDRED,KIRLIA,MILTANK,MILTANK,BOLTUND,BOLTUND,25,Plain,TRUE,Morn
,,108.1,ROUTE 10 AREA 2,COTTONEE,PETILIL,FURRET,DRIFLOON,ALOLAN_RATICATE,HERDIER,LOUDRED,KIRLIA,MILTANK,MILTANK,BOLTUND,BOLTUND,25,Plain,TRUE,Day
,,108.2,ROUTE 10 AREA 2,COTTONEE,PETILIL,FURRET,DRIFLOON,ALOLAN_RATICATE,HERDIER,LOUDRED,KIRLIA,MILTANK,MILTANK,BOLTUND,BOLTUND,25,Plain,TRUE,Night
