Script #,Script File,Used As,Headers Using,Text Archives,Script Count,Function Count,Action Count,Message Refs,Item Refs,Trainer Refs,Flag Refs,Top Commands,Total Commands,File Exists
395,0395,Level Script File,KYOGRE DEN,149,0,0,0,,,,,,0,Y
396,0396,Level Script File,SKY PILLAR 02,150,0,0,0,,,,,,0,Y
397,0397,Level Script File,DIRECT2,3,0,0,0,,,,,,0,Y
398,0398,Level Script File,DIRECT4,3,0,0,0,,,,,,0,Y
399,0399,Level Script File,EVERYWHERE; NOTHING; UG; D24; HAMP 04 HS05; LUGIA DEN 02; HO-OH TWR F2; MELT 10 HS12; DANB 08 HS15; SYDT TWR F1; SYDT TWR F2; SYDT TWR F3; SYDT TWR F4; SYDT TWR F5; SYDT TWR F6; LIGHT H 01 F2; LIGHT H 01 F4; HOTEL 2 F3; HOTEL 2 F4; MANSION A2; MANSION A6; D11R0107; D41R0102; D41R0103; D41R0104; D41R0106; D41R0107; R05R0101; R06R0101; D40R0106; D22R0103; R00; TEST1; NEWMAP,3; 399; 514,0,0,0,,,,,,0,Y
400,0400,Level Script File,MANSION A9; HIROBA,212,0,0,0,,,,,,0,Y
402,0402,Level Script File,SYDT DOCK 01,255,0,0,0,,,,,,0,Y
403,0403,Level Script File,SYDT DOCK 02,256,0,0,0,,,,,,0,Y
406,0406,Level Script File,BOAT 01,259,0,0,0,,,,,,0,Y
407,0407,Level Script File,BOAT 02,260,0,0,0,,,,,,0,Y
408,0408,Level Script File,BOAT 03,261,0,0,0,,,,,,0,Y
409,0409,Level Script File,BOAT 04,3,0,0,0,,,,,,0,Y
410,0410,Level Script File,BOAT 05,3,0,0,0,,,,,,0,Y
411,0411,Level Script File,BOAT 06,262,0,0,0,,,,,,0,Y
412,0412,Level Script File,BOAT 07,263,0,0,0,,,,,,0,Y
413,0413,Level Script File,R01; RT 1 AREA 1,319,0,0,0,,,,,,0,Y
414,0414,Level Script File,RT 2 AREA 1; RT 2 AREA 2,320,0,0,0,,,,,,0,Y
417,0417,Level Script File,RADE 01 GV09,323,0,0,0,,,,,,0,Y
420,0420,Level Script File,RT 3 AREA 1; RT 3 AREA 2,326,0,0,0,,,,,,0,Y
423,0423,Level Script File,RT 3 AREA 3,326,0,0,0,,,,,,0,Y
424,0424,Level Script File,RT 3 AREA 4,329,0,0,0,,,,,,0,Y
425,0425,Level Script File,MANSION A3; R05R0201,330,0,0,0,,,,,,0,Y
426,0426,Level Script File,R05R0202,331,0,0,0,,,,,,0,Y
428,0428,Level Script File,R05R0401,333,0,0,0,,,,,,0,Y
429,0429,Level Script File,LOB FOREST 01; LOB FOREST 02; LOB FOREST 03; LOB FOREST 04; LOB FOREST 05; LOB FOREST 06; LOB FOREST 07; LOB FOREST 08; LOB FOREST 09,334,0,0,0,,,,,,0,Y
430,0430,Level Script File,WLDA03 GV08,335,0,0,0,,,,,,0,Y
431,0431,Level Script File,RT 4 AREA 1,336,0,0,0,,,,,,0,Y
432,0432,Level Script File,R07R0101,337,0,0,0,,,,,,0,Y
433,0433,Level Script File,RT 5 AREA 1; RT 5 AREA 2,338,0,0,0,,,,,,0,Y
435,0435,Level Script File,SUB PATH 1; SUB PATH 2; SUB PATH 3; SUB PATH 4; RT 5 AREA 3,340,0,0,0,,,,,,0,Y
436,0436,Level Script File,ROCK CAVE 01; RT 5 AREA 4,341,0,0,0,,,,,,0,Y
437,0437,Level Script File,R10PC0101,342,0,0,0,,,,,,0,Y
438,0438,Level Script File,R10PC0102,3,0,0,0,,,,,,0,Y
440,0440,Level Script File,R10R0201,344,0,0,0,,,,,,0,Y
441,0441,Level Script File,R10R0202,345,0,0,0,,,,,,0,Y
442,0442,Level Script File,-; ICE CAVE 01; RT 5 AREA 5; RT 6 AREA 1; RT 6 AREA 2; RT 6 AREA 3; RT 6 AREA 4,346,0,0,0,,,,,,0,Y
444,0444,Level Script File,STEEL CAVE 01; RT 7 AREA 1; RT 7 AREA 2; RT 7 AREA 3,348,0,0,0,,,,,,0,Y
445,0445,Level Script File,HOME 57 SROD,349,0,0,0,,,,,,0,Y
446,0446,Level Script File,ROCK CAVE 02; RT 8 AREA 1; RT 8 AREA 2; RT 8 AREA 3; RT 8 AREA 4,350,0,0,0,,,,,,0,Y
447,0447,Level Script File,-; ICE CAVE 02; RT 9 AREA 1; RT 9 AREA 2; RT 9 AREA 3; RT 9 AREA 4; RT 9 AREA 5,351,0,0,0,,,,,,0,Y
448,0448,Level Script File,STEEL CAVE 02; RT 10 AREA 1; RT 10 AREA 2,352,0,0,0,,,,,,0,Y
450,0450,Level Script File,RT 12 AREA 1; RT 12 AREA 2; RT 12 AREA 3,354,0,0,0,,,,,,0,Y
452,0452,Level Script File,BIKE GATE 01,356,0,0,0,,,,,,0,Y
454,0454,Level Script File,BIKE ROAD TOP,357,0,0,0,,,,,,0,Y
455,0455,Level Script File,RT 11 AREA 1; RT 11 AREA 2; RT 11 AREA 3; RT 11 AREA 4; RT 11 AREA 5,358,0,0,0,,,,,,0,Y
456,0456,Level Script File,BIKE GATE 02,359,0,0,0,,,,,,0,Y
457,0457,Level Script File,-,360,0,0,0,,,,,,0,Y
460,0460,Level Script File,-,362,0,0,0,,,,,,0,Y
461,0461,Level Script File,-,363,0,0,0,,,,,,0,Y
463,0463,Level Script File,ULURU 1 A1; ULURU 1 A2; ULURU 1 A3,365,0,0,0,,,,,,0,Y
464,0464,Level Script File,RADE 07 HS31,366,0,0,0,,,,,,0,Y
465,0465,Level Script File,RT 9 HS32,367,0,0,0,,,,,,0,Y
466,0466,Level Script File,RT 14 AREA 1; RT 14 AREA 5; RT 14 AREA 6; RT 14 AREA 2; RT 14 AREA 3; RT 14 AREA 4,369,0,0,0,,,,,,0,Y
467,0467,Level Script File,HOTEL 2 HS33,370,0,0,0,,,,,,0,Y
468,0468,Level Script File,RT 19 AREA 1; RT 19 AREA 2; RT 19 AREA 3,371,0,0,0,,,,,,0,Y
469,0469,Level Script File,DALI 10 HS54,372,0,0,0,,,,,,0,Y
470,0470,Level Script File,ULURU 2 A1; ULURU 2 A2,373,0,0,0,,,,,,0,Y
471,0471,Level Script File,MELT 12 GV03,375,0,0,0,,,,,,0,Y
472,0472,Level Script File,RT 13 AREA 1; RT 13 AREA 2; RT 13 AREA 3; RT 13 AREA 4; RT 13 AREA 5; RT 13 AREA 6; RT 13 AREA 7,375,0,0,0,,,,,,0,Y
473,0473,Level Script File,LOBA 05 HS09,376,0,0,0,,,,,,0,Y
475,0475,Level Script File,ULURU 3 A1; ULURU 3 A2,378,0,0,0,,,,,,0,Y
476,0476,Level Script File,MELT 13 GH01,379,0,0,0,,,,,,0,Y
477,0477,Level Script File,UNDARA AREA 1; UNDARA AREA 2; UNDARA AREA 3; UNDARA AREA 4,380,0,0,0,,,,,,0,Y
478,0478,Level Script File,SYDT 02 PC05,381,0,0,0,,,,,,0,Y
479,0479,Level Script File,SYDT 03 PCR05,3,0,0,0,,,,,,0,Y
480,0480,Level Script File,DANB 01 GH02,382,0,0,0,,,,,,0,Y
481,0481,Level Script File,PRIMAL CAVE 1; -,383,0,0,0,,,,,,0,Y
482,0482,Level Script File,SHALLOW C 1; SHALLOW C 2; SHALLOW C 3; SHALLOW C 4,384,0,0,0,,,,,,0,Y
483,0483,Level Script File,BAIR 05 DCARE,385,0,0,0,,,,,,0,Y
484,0484,Level Script File,SYDT 06 GV06,386,0,0,0,,,,,,0,Y
485,0485,Level Script File,RT 15 AREA 1; SKY PILLAR 01,387,0,0,0,,,,,,0,Y
486,0486,Level Script File,LOBA 07 GV01,388,0,0,0,,,,,,0,Y
488,0488,Level Script File,ULURU 4 A1; ULURU 4 A2; ULURU 4 A3,390,0,0,0,,,,,,0,Y
489,0489,Level Script File,MELT 11 GV02,391,0,0,0,,,,,,0,Y
491,0491,Level Script File,SPEAR PLR 1; SPEAR PLR 2,393,0,0,0,,,,,,0,Y
492,0492,Level Script File,RT 18 AREA 1; RT 18 AREA 2; RT 18 AREA 3; RT 18 AREA 4,394,0,0,0,,,,,,0,Y
493,0493,Level Script File,TROO 01 GH 09,395,0,0,0,,,,,,0,Y
494,0494,Level Script File,HAUNT AREA 1; HAUNT AREA 2; HAUNT AREA 3; HAUNT AREA 4; HAUNT AREA 5,396,0,0,0,,,,,,0,Y
497,0497,Level Script File,MANSION A1,399,0,0,0,,,,,,0,Y
499,0499,Level Script File,RT 17 AREA 1; RT 17 AREA 2; RT 17 AREA 3; RT 17 AREA 4; RT 17 AREA 5; RT 17 AREA 6; RT 17 AREA 7; RT 17 AREA 8,401,0,0,0,,,,,,0,Y
500,0500,Level Script File,DANB 09 GV04,402,0,0,0,,,,,,0,Y
501,0501,Level Script File,WLDA01 GV07,403,0,0,0,,,,,,0,Y
503,0503,Level Script File,UNDARA CAVE 3; UNDARA CAVE 4,405,0,0,0,,,,,,0,Y
504,0504,Level Script File,UNDARA CAVE 2,406,0,0,0,,,,,,0,Y
508,0508,Level Script File,HAMPELL TOWN,446,0,0,0,,,,,,0,Y
514,0514,Level Script File,UNDARA CAVE 1,452,0,0,0,,,,,,0,Y
519,0519,Level Script File,DALI 10 HS53,456,0,0,0,,,,,,0,Y
522,0522,Level Script File,RADE 23 GV13,459,0,0,0,,,,,,0,Y
524,0524,Level Script File,T03FS0101,461,0,0,0,,,,,,0,Y
525,0525,Level Script File,T03GYM0101,462,0,0,0,,,,,,0,Y
526,0526,Level Script File,T03PC0101,463,0,0,0,,,,,,0,Y
527,0527,Level Script File,T03PC0102,3,0,0,0,,,,,,0,Y
528,0528,Level Script File,MELT 07 FOSSI; T03R0101,464,0,0,0,,,,,,0,Y
529,0529,Level Script File,T03R0201,465,0,0,0,,,,,,0,Y
530,0530,Level Script File,T03R0601,466,0,0,0,,,,,,0,Y
532,0532,Level Script File,TROO 04 PM09,468,0,0,0,,,,,,0,Y
533,0533,Level Script File,SYDT 04 GYM04,469,0,0,0,,,,,,0,Y
535,0535,Level Script File,T04PC0102,3,0,0,0,,,,,,0,Y
543,0543,Level Script File,T05PC0102,3,0,0,0,,,,,,0,Y
550,0550,Level Script File,DALI 03 PM07,484,0,0,0,,,,,,0,Y
551,0551,Level Script File,DALI 04 GYM06,485,0,0,0,,,,,,0,Y
553,0553,Level Script File,SHED 02 PCR08,3,0,0,0,,,,,,0,Y
554,0554,Level Script File,HOTEL 2 HS34,487,0,0,0,,,,,,0,Y
556,0556,Level Script File,HOTEL 2 HS35,489,0,0,0,,,,,,0,Y
557,0557,Level Script File,TROO 06 HS36,490,0,0,0,,,,,,0,Y
559,0559,Level Script File,DANB 05 GYM03,492,0,0,0,,,,,,0,Y
562,0562,Level Script File,DEPART 2 F1,494,0,0,0,,,,,,0,Y
563,0563,Level Script File,DEPART 2 F2,495,0,0,0,,,,,,0,Y
564,0564,Level Script File,DEPART 2 F3,496,0,0,0,,,,,,0,Y
565,0565,Level Script File,DEPART 2 F4,497,0,0,0,,,,,,0,Y
566,0566,Level Script File,DEPART 2 F5,498,0,0,0,,,,,,0,Y
567,0567,Level Script File,DEPART 2 F6,499,0,0,0,,,,,,0,Y
568,0568,Level Script File,DEPART 2 ELV,500,0,0,0,,,,,,0,Y
569,0569,Level Script File,HOTEL 1 F1,501,0,0,0,,,,,,0,Y
570,0570,Level Script File,HOTEL 1 F2; HOTEL 1 F4,502,0,0,0,,,,,,0,Y
572,0572,Level Script File,DEPART 2 ROOF,504,0,0,0,,,,,,0,Y
573,0573,Level Script File,DEPART 2 ROOM,505,0,0,0,,,,,,0,Y
574,0574,Level Script File,HOTEL 2 B1,506,0,0,0,,,,,,0,Y
576,0576,Level Script File,RT 7 SCIENCE,508,0,0,0,,,,,,0,Y
577,0577,Level Script File,RADE 20 TBD,509,0,0,0,,,,,,0,Y
578,0578,Level Script File,RADE 21 TBD,510,0,0,0,,,,,,0,Y
579,0579,Level Script File,MELT 06 GAME2; T07SP0101,511,0,0,0,,,,,,0,Y
580,0580,Level Script File,SEWER ROOM 03,512,0,0,0,,,,,,0,Y
581,0581,Level Script File,T08FS0101,513,0,0,0,,,,,,0,Y
582,0582,Level Script File,HOTEL 2 F2; T08GYM0101,514,0,0,0,,,,,,0,Y
583,0583,Level Script File,T08PC0101,515,0,0,0,,,,,,0,Y
584,0584,Level Script File,T08PC0102,3,0,0,0,,,,,,0,Y
585,0585,Level Script File,T08R0201,516,0,0,0,,,,,,0,Y
586,0586,Level Script File,RT 5 01 HS51; T08R0401,517,0,0,0,,,,,,0,Y
587,0587,Level Script File,DALI 10 HS52; T08R0601,518,0,0,0,,,,,,0,Y
599,0599,Level Script File,T10R0801,3,0,0,0,,,,,,0,Y
600,0600,Level Script File,TROOME CITY; TROOME TBD 1; TROOME TBD 2; TROOME TBD 3; TROOME TBD 4; TROOME TBD 5; TROOME TBD 6; TROOME TBD 7; TROOME TBD 8; TROOME TBD 9; TROOME TBD 10,530,0,0,0,,,,,,0,Y
601,0601,Level Script File,RADE 04 PM08,530,0,0,0,,,,,,0,Y
606,0606,Level Script File,TROO 08 HS38,534,0,0,0,,,,,,0,Y
609,0609,Level Script File,MANSION A7; FREE; TEST2,3; 399,0,0,0,,,,,,0,Y
610,0610,Level Script File,ROTOM TOWER,537,0,0,0,,,,,,0,Y
611,0611,Level Script File,ROTOM ROOM,538,0,0,0,,,,,,0,Y
612,0612,Level Script File,ROTOM ELEVATO,539,0,0,0,,,,,,0,Y
613,0613,Level Script File,TROO 09 HS39,540,0,0,0,,,,,,0,Y
614,0614,Level Script File,TROO 10 HS40,541,0,0,0,,,,,,0,Y
615,0615,Level Script File,MAUNCESTON T,542,0,0,0,,,,,,0,Y
616,0616,Level Script File,MAUN 09 LAB01,543,0,0,0,,,,,,0,Y
617,0617,Level Script File,MAUN 10 LAB02,544,0,0,0,,,,,,0,Y
618,0618,Level Script File,MAUN 01 MUM,545,0,0,0,,,,,,0,Y
619,0619,Level Script File,MAUN 02 PROT,546,0,0,0,,,,,,0,Y
620,0620,Level Script File,MAUN 03 HS01,547,0,0,0,,,,,,0,Y
622,0622,Level Script File,MAUN 04 RIV01; MAUN 06 RIV02; MAUN 08 RIV03; RADE 22 TBD,549,0,0,0,,,,,,0,Y
623,0623,Level Script File,LOBART CITY,550,0,0,0,,,,,,0,Y
624,0624,Level Script File,HAMP 03 PM01,551,0,0,0,,,,,,0,Y
625,0625,Level Script File,HAMP 01 PC01,552,0,0,0,,,,,,0,Y
626,0626,Level Script File,LOBA 02 PCR02,3,0,0,0,,,,,,0,Y
627,0627,Level Script File,MAUN 05 HS02,553,0,0,0,,,,,,0,Y
628,0628,Level Script File,MAUN 07 HS03,554,0,0,0,,,,,,0,Y
629,0629,Level Script File,MAUN 11 HS04,555,0,0,0,,,,,,0,Y
630,0630,Level Script File,MELTON CITY,556,0,0,0,,,,,,0,Y
631,0631,Level Script File,MELT 03 PM03,557,0,0,0,,,,,,0,Y
632,0632,Level Script File,RADE 05 GYM07,558,0,0,0,,,,,,0,Y
633,0633,Level Script File,MELT 01 PC03,559,0,0,0,,,,,,0,Y
634,0634,Level Script File,MELT 02 PCR03,3,0,0,0,,,,,,0,Y
635,0635,Level Script File,LOBA 06 SCHOO,560,0,0,0,,,,,,0,Y
636,0636,Level Script File,MELT 09 HS11,561,0,0,0,,,,,,0,Y
637,0637,Level Script File,DANB 06 HS13,562,0,0,0,,,,,,0,Y
638,0638,Level Script File,WLDA02 GH08,563,0,0,0,,,,,,0,Y
639,0639,Level Script File,DANBERRA CITY,564,0,0,0,,,,,,0,Y
640,0640,Level Script File,DANB 04 PM04,565,0,0,0,,,,,,0,Y
643,0643,Level Script File,DANB 02 PC04,568,0,0,0,,,,,,0,Y
644,0644,Level Script File,DANB 03 PCR04,3,0,0,0,,,,,,0,Y
645,0645,Level Script File,BAIR 08 GH04; SYDT 06 GH03,569,0,0,0,,,,,,0,Y
646,0646,Level Script File,DANB 07 HS14,570,0,0,0,,,,,,0,Y
648,0648,Level Script File,BAIRNS TOWN,572,0,0,0,,,,,,0,Y
650,0650,Level Script File,MELT 04 GYM02,574,0,0,0,,,,,,0,Y
651,0651,Level Script File,DALI 01 PC09,575,0,0,0,,,,,,0,Y
653,0653,Level Script File,SHED 04 HS22,576,0,0,0,,,,,,0,Y
654,0654,Level Script File,SHED 05 HS23,577,0,0,0,,,,,,0,Y
655,0655,Level Script File,SHED 04 HS24,578,0,0,0,,,,,,0,Y
656,0656,Level Script File,DALI 05 HS25,579,0,0,0,,,,,,0,Y
657,0657,Level Script File,RADE 23 TBD; TROO 07 HS37,580,0,0,0,,,,,,0,Y
658,0658,Level Script File,SYDTREE CITY,581,0,0,0,,,,,,0,Y
659,0659,Level Script File,LOBA 04 GYM01,582,0,0,0,,,,,,0,Y
660,0660,Level Script File,BAIR 01 PC07,583,0,0,0,,,,,,0,Y
661,0661,Level Script File,BAIR 02 PCR07,3,0,0,0,,,,,,0,Y
663,0663,Level Script File,MELT 08 BIKE,584,0,0,0,,,,,,0,Y
664,0664,Level Script File,HOTEL 1 HS17,585,0,0,0,,,,,,0,Y
665,0665,Level Script File,HOTEL 1 HS16,586,0,0,0,,,,,,0,Y
667,0667,Level Script File,DRAGON DEN 01,588,0,0,0,,,,,,0,Y
668,0668,Level Script File,MANSION A8; T25R0503,3; 399,0,0,0,,,,,,0,Y
670,0670,Level Script File,HOTEL 1 HS18,590,0,0,0,,,,,,0,Y
672,0672,Level Script File,DEPART 1 F1,592,0,0,0,,,,,,0,Y
673,0673,Level Script File,DEPART 1 F2,593,0,0,0,,,,,,0,Y
674,0674,Level Script File,DEPART 1 F3,594,0,0,0,,,,,,0,Y
675,0675,Level Script File,DEPART 1 F4,595,0,0,0,,,,,,0,Y
676,0676,Level Script File,DEPART 1 F5,596,0,0,0,,,,,,0,Y
677,0677,Level Script File,DEPART 1 F6,597,0,0,0,,,,,,0,Y
678,0678,Level Script File,DEPART 1 ELVA,598,0,0,0,,,,,,0,Y
680,0680,Level Script File,GLOBAL TWR F1,600,0,0,0,,,,,,0,Y
681,0681,Level Script File,GLOBAL TWR F2,601,0,0,0,,,,,,0,Y
682,0682,Level Script File,GLOBAL TWR F3,602,0,0,0,,,,,,0,Y
683,0683,Level Script File,MELT 05 GAME1; T25SP0101,603,0,0,0,,,,,,0,Y
684,0684,Level Script File,SHEDSNOW TOWN,604,0,0,0,,,,,,0,Y
685,0685,Level Script File,BAIR 03 PM05,605,0,0,0,,,,,,0,Y
686,0686,Level Script File,SEWER AREA 01; SEWER AREA 02; SEWER AREA 03,606,0,0,0,,,,,,0,Y
687,0687,Level Script File,SHED 01 PC08,607,0,0,0,,,,,,0,Y
688,0688,Level Script File,DALI 02 PCR09,3,0,0,0,,,,,,0,Y
689,0689,Level Script File,SYDT 05 HS19,608,0,0,0,,,,,,0,Y
690,0690,Level Script File,BAIR 06 HS20,609,0,0,0,,,,,,0,Y
691,0691,Level Script File,BAIR 07 HS21,610,0,0,0,,,,,,0,Y
693,0693,Level Script File,DALICE STRING,612,0,0,0,,,,,,0,Y
694,0694,Level Script File,LOBA 03 PM02,613,0,0,0,,,,,,0,Y
695,0695,Level Script File,TROO 05 GYM08,614,0,0,0,,,,,,0,Y
696,0696,Level Script File,LOBA 01 PC02,615,0,0,0,,,,,,0,Y
697,0697,Level Script File,HAMP 02 PCR01,3,0,0,0,,,,,,0,Y
700,0700,Level Script File,HAMP 06 HS07,617,0,0,0,,,,,,0,Y
702,0702,Level Script File,HAMP 05 HS06,619,0,0,0,,,,,,0,Y
703,0703,Level Script File,TERTH CITY,620,0,0,0,,,,,,0,Y
705,0705,Level Script File,SEWER ROOM 01,622,0,0,0,,,,,,0,Y
707,0707,Level Script File,SEWER ROOM 02,623,0,0,0,,,,,,0,Y
708,0708,Level Script File,RADE 02 PC10,624,0,0,0,,,,,,0,Y
709,0709,Level Script File,RADE 03 PCR10,3,0,0,0,,,,,,0,Y
710,0710,Level Script File,RT 5 02 HS10,625,0,0,0,,,,,,0,Y
712,0712,Level Script File,DALI 09 HS29,627,0,0,0,,,,,,0,Y
713,0713,Level Script File,RADE 06 HS30,628,0,0,0,,,,,,0,Y
714,0714,Level Script File,RADELAIDE CTY,629,0,0,0,,,,,,0,Y
715,0715,Level Script File,SHED 03 PM06,630,0,0,0,,,,,,0,Y
716,0716,Level Script File,BAIR 04 GYM05,631,0,0,0,,,,,,0,Y
717,0717,Level Script File,TROO 02 PC11,632,0,0,0,,,,,,0,Y
718,0718,Level Script File,TROO 03 PCR11,3,0,0,0,,,,,,0,Y
719,0719,Level Script File,DALI 06 HS26,633,0,0,0,,,,,,0,Y
720,0720,Level Script File,DALI 07 HS27,634,0,0,0,,,,,,0,Y
721,0721,Level Script File,DALI 08 HS28,635,0,0,0,,,,,,0,Y
724,0724,Level Script File,T31PC0102,3,0,0,0,,,,,,0,Y
726,0726,Level Script File,UNION,738,0,0,0,,,,,,0,Y
735,0735,Script File,HAMPELL TOWN,446,2,20,0,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231,Y
741,0741,Script File,UNDARA CAVE 1,452,12,16,6,0; 1; 2; 3; 4; 5; 6; 7,,,300; 302; 393; 638,End(28); JumpIf(15); CloseMessage(14); ReleaseAll(13); WaitButton(12); CompareVarValue(11); LockAll(9); Message(9); Movement(9); SetVar(8),260,Y
746,0746,Script File,DALI 10 HS53,456,4,0,0,0; 1; 2; 3,,,,PlayFanfare(4); LockAll(4); FacePlayer(4); Message(4); WaitButton(4); CloseMessage(4); ReleaseAll(4); End(4); PlayCry(2); WaitCry(2),36,Y
749,0749,Script File,RADE 23 GV13,459,1,0,0,0,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8,Y
751,0751,Script File,T03FS0101,461,4,0,0,0; 1,,,,PlayFanfare(4); LockAll(4); FacePlayer(4); CommonScript(4); ReleaseAll(4); End(4); FreezeMessage(2); SetVar(2); Message(2); WaitButton(2),34,Y
752,0752,Script File,T03GYM0101,462,4,19,0,0; 1; 2; 5; 6; 7; 8; 9,,,383; 756,JumpIf(16); CompareVarValue(14); End(12); Jump(11); Message(9); CloseMessage(8); ReleaseAll(8); SetFlag(8); WaitButton(6); TextPlayerName(5),133,Y
753,0753,Script File,T03PC0101,463,5,3,0,0; 1; 2; 3; 4; 5; 6; 7,,,307,End(8); Message(8); CloseMessage(8); WaitButton(7); ReleaseAll(7); PlayFanfare(4); LockAll(4); FacePlayer(4); JumpIf(4); CompareVarValue(2),80,Y
754,0754,Script File,T03PC0102,3,1,0,0,,,,,End(1),1,Y
755,0755,Script File,MELT 07 FOSSI; T03R0101,464,20,52,17,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 21; 22; 23; 24; 25; 26; 27; 28; 29,ITEM_ENIGMA_STONE; ITEM_OLD_AMBER; ITEM_HELIX_FOSSIL; ITEM_DOME_FOSSIL; ITEM_ROOT_FOSSIL; ITEM_CLAW_FOSSIL; ITEM_ARMOR_FOSSIL; ITEM_SKULL_FOSSIL; 0x8002; 0x4000,,1; 393; 638; 776; 791,CompareVarValue(72); End(52); JumpIf(40); Message(36); CloseMessage(36); CallIf(35); Movement(34); SetVar(31); WaitMovement(30); ReleaseAll(26),742,Y
756,0756,Script File,T03R0201,465,2,0,0,0; 1,,,,PlayFanfare(2); LockAll(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayCry(1); WaitCry(1),16,Y
757,0757,Script File,T03R0601,466,1,0,0,0,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8,Y
759,0759,Script File,TROO 04 PM09,468,4,0,0,0; 1,,,,PlayFanfare(4); LockAll(4); FacePlayer(4); CommonScript(4); ReleaseAll(4); End(4); FreezeMessage(2); SetVar(2); Message(2); WaitButton(2),34,Y
760,0760,Script File,SYDT 04 GYM04,469,5,37,0,0; 1; 2; 3; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 19; 20; 21; 22; 23; 24,,,187; 2630; 2631; 2632; 2633; 2634; 2635; 2636; 2637; 2638,SetVar(27); Message(26); CloseMessage(25); JumpIf(23); WaitButton(23); Return(23); CompareVarValue(19); End(16); ReleaseAll(13); Call(12),303,Y
762,0762,Script File,T04PC0102,3,1,0,0,,,,,End(1),1,Y
770,0770,Script File,T05PC0102,3,1,0,0,,,,,End(1),1,Y
777,0777,Script File,DALI 03 PM07,484,4,0,0,0; 1,,,,PlayFanfare(4); LockAll(4); FacePlayer(4); CommonScript(4); ReleaseAll(4); End(4); FreezeMessage(2); SetVar(2); Message(2); WaitButton(2),34,Y
778,0778,Script File,DALI 04 GYM06,485,30,58,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28,,,187; 2470; 2650; 2651; 2652; 2653; 2654; 2655; 2656; 2657; 2658; 330; 354; 385; 752; 794,JumpIf(48); End(46); Message(42); CloseMessage(39); CompareVarValue(35); WaitButton(35); ReleaseAll(27); Jump(25); SetVar(25); SetFlag(21),530,Y
780,0780,Script File,SHED 02 PCR08,3,1,0,0,,,,,End(1),1,Y
781,0781,Script File,HOTEL 2 HS34,487,2,0,0,0; 1,,,,PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2),16,Y
783,0783,Script File,HOTEL 2 HS35,489,2,0,0,0; 1,,,,PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2),16,Y
784,0784,Script File,TROO 06 HS36,490,1,0,0,0,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8,Y
786,0786,Script File,DANB 05 GYM03,492,5,33,0,0; 1; 2; 3; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 19; 20; 21; 22; 23; 24,,,187; 2620; 2621; 2622; 2623; 2624; 2625; 2626; 2627; 2628,SetVar(27); Message(26); CloseMessage(25); JumpIf(23); WaitButton(23); End(18); Return(17); ReleaseAll(15); Call(14); CompareVarValue(13),281,Y
789,0789,Script File,DEPART 2 F1,494,4,0,0,0; 1; 2; 3,,,,PlayFanfare(4); LockAll(4); Message(4); WaitButton(4); CloseMessage(4); ReleaseAll(4); End(4); FacePlayer(3),31,Y
790,0790,Script File,DEPART 2 F2,495,8,20,15,0; 1; 2; 3; 4; 5; 6; 7; 8; 9,ITEM_FASHION_CASE,,393; 638; 735; 787,End(31); Movement(21); CompareVarValue(19); JumpIf(18); Message(15); SetVar(14); ReleaseAll(13); WaitMovement(13); CloseMessage(12); LockAll(10),327,Y
791,0791,Script File,DEPART 2 F3,496,6,0,0,0; 1; 2; 3; 4,,,,PlayFanfare(6); LockAll(6); ReleaseAll(6); End(6); FacePlayer(5); Message(5); WaitButton(5); CloseMessage(5); CommonScript(2); FreezeMessage(1),48,Y
792,0792,Script File,DEPART 2 F4,497,7,15,3,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18,,,393; 608; 738,End(19); Message(19); JumpIf(15); CloseMessage(14); CompareVarValue(14); ReleaseAll(10); PlayFanfare(9); LockAll(9); WaitButton(9); FacePlayer(7),193,Y
