,Decomp Names,DSPRE Names,Parameters,Function
0245,lock_last_talked,DummyLockAll,,
0246,scrcmd_582,CMD_582,,
0247,scrcmd_583,CMD_583,,
0248,party_legal_check,PartyLegalCheck,var: Result,"Checks legality of party, at least for WIFI stuff. If RESULT is 1, party check failed and you have an ""illegal"" mon "
0249,scrcmd_585,CMD_585,,
024A,scrcmd_586,CMD_586,,
024B,scrcmd_587,CMD_587,,??? 
024C,lati_caught_check,LastBattleCheckCaught,Var ???,
024D,wild_battle,WildBattleSp,Flex: Pokémon; Flex: Level; u8: Shiny Flag,"Starts a wild battle against a Pokémon of level Level, and shiny if Shiny Flag is 1 "
024E,get_trcard_stars,CheckTrainerCardLevel,Var: Variable,Stores in Variable the current trainer card level 
024F,scrcmd_591,DummyRideBike,,Nothing 
0250,scrcmd_592,CMD_592,,
0251,show_save_stats,ShowSaveBox,,"Displays the save data box (current map name, player's name, the amount of badges, the Pokédex counter and the play time) "
0252,hide_save_stats,HideSaveBox,,Hides the save data box 
0253,scrcmd_595,ScopeMode,u8: Mode,"If Mode is 1, activates the scope mode, otherwise the command deactivates the scope mode "
0254,scrcmd_596,GetFollowingPokeSize,Var: Variable,"Stores 0 in Variable if the current following Pokémon is small and can follow the player indoors, stores 1 if it's big and can't follow the player indoors "
0255,scrcmd_597,CMD_597,,??? 
0256,scrcmd_598,SwapFollowingPokeAndPlayerPositions,u16: ???,??? 
0257,scrcmd_599,FollowingPokePCAnimation,,Triggers the animation of sending the current following Pokémon back to its PokéBall over the Pokémon Center healing counter 
0258,scrcmd_600,SendBackFollowingPoke,,Triggers the animation of sending the current following Pokémon back to its PokéBall and deactivates the following Pokémon until the game is reset or a warp is used 
0259,follow_mon_face_player,FollowingPokeFacePlayer,,"Makes the invoking event look at the player, but with a size limitation "
025A,toggle_following_pokemon_movement,LockFollowingPoke,u16: Operation,"Releases the following Pokemon animation if Operation is 0, locks the animation otherwise "
025B,wait_following_pokemon_movement,WaitFollowingPoke,,Waits the following Pokemon to end its last movement 
025C,following_pokemon_movement,SetFollowingPokeMovement,u16: Move Code,Changes the following Pokemon default movement to Move Code 
025D,scrcmd_605,SetFollowingPokePosition,u8: Position; u8: Direction,Moves the following Pokémon to one tile Position next to player and facing at Direction 
025E,scrcmd_606,BallResetFollowingPoke,,"Moves the following Pokémon to the current player's position, and triggers the animation of sending the Pokémon out of its PokéBall after the player walks a step "
025F,scrcmd_607,NoBallResetFollowingPoke,,Moves the following Pokémon to the current player's position 
0260,scrcmd_608,SendOutFollowingPoke,,Triggers the animation of sending the first non-fainted Pokémon out of its PokéBall and spawns it on the last player position 
0261,scrcmd_609,MecScript,,??? 
0262,scrcmd_610,CMD_610,,
0263,pokeathlon,Pokeathlon,,
0264,get_npc_trade_unused_flag,CMD_612,,
0265,get_phone_contact_random_gift_berry,GetPokegearContactRandomGiftBerry,,
0266,get_phone_contact_gift_item,GetPokegearContactGiftItem,,
0267,cameron_photo,TakePhoto,u16: Index,
0268,count_saved_photos,CMD_616,,
0269,open_photo_album,CMD_617,,
026A,photo_album_is_full,CheckAlbumPhoto,,
026B,rocket_costume_flag_check,CheckRocketCostume,,
026C,rocket_costume_flag_action,ActivateRocketCostume,,
026D,place_starter_balls_in_elms_lab,UpdateStarterSelectionMachine,u8: Number of Poke Balls,
026E,scrcmd_622,GetOWDirection,u16: Event ID; Var: Variable,Stores in Variable the current direction which Event ID is facing 
026F,anim_apricorn_tree,HarvestApricorn,Var: Variable,"Returns 0 to Variable if there is no Apricorn on the tree (references 0x800D, aka the last interacted-with object/NPC) "
0270,apricorn_tree_get_apricorn,GetApricornColor,Var: Variable,"Returns Apricorn type to Variable based on the pre-defined array of trees in the Notes column. For example, the white Apricorn from Azalea Town would return 6 to Variable. Defaults to 1 for red Apricorn if undefined "
0271,give_apricorn_from_tree,GiveApricorn,Flex: Apricorn; u16: Quantity; Var: Result,Gives Apricorn of Quantity if current Apricorn count in the box plus Quantity is <= 99. Returns 0 to Var if Apricorn count = 99 to stop the player from obtaining more than 99 
0272,buffer_apricorn_name,TextApricorn,u8: String Buffer; Flex: Apricorn Name,Stores Apricorn Name in String Buffer 
0273,scrcmd_627,CMD_627,,
0274,scrcmd_628,CMD_628,,
0275,scrcmd_629,CMD_629,,
0276,scrcmd_630,CMD_630,,
0277,scrcmd_631,CMD_631,,
0278,count_party_mons_of_species,CountPartyMonsOfSpecies,,
0279,scrcmd_633,CMD_633,,
027A,scrcmd_634,CMD_634,,
027B,scrcmd_635,CMD_635,,
027C,scrcmd_636,CMD_636,,
027D,scrcmd_637,CMD_637,,
027E,scrcmd_638,CMD_638,,
027F,scrcmd_639,CMD_639,,
0280,scrcmd_640,CMD_640,,
0281,save_wipe_extra_chunks,SaveWipeExtraChunks,,
0282,scrcmd_642,CMD_642,Var: Variable,??? 
0283,scrcmd_643,CMD_643,,
0284,scrcmd_644,CMD_644,,
0285,scrcmd_645,CMD_645,,
0286,scrcmd_646,CMD_646,,
0287,get_party_slot_with_species,GetPartySlotWithSpecies,Var: Slot; u16 or Flex(???): Pokemon ID,"Checks party for the presence of a Pokemon, and returns which slot they are in. "
0288,scrcmd_648,CMD_648,,
0289,scratch_off_card,ScratchOffScreen,,
028A,scratch_off_card_end,ReleaseScriptApp,,
028B,get_scratch_off_prize,GetScratchCardPrize,,
028C,scrcmd_652,GetTutorPageQuantity,Flex: Party Slot; Flex: Tutor; Var: Variable,"Checks the number of pages to display for the tutors in Frontier Access. Returns 0 if there are no learnable moves, 1 if the number of learnable moves is <= 7, else (((number of learnable moves)/6)+1) "
028D,move_tutor_choose_move,MoveTutorChooseMove,Flex: Party Slot; Flex: Tutor; Flex: Page; Var: Variable,"Choose a move for the Pokémon in Party Slot from Tutor on Page and returns the selected move slot from the list to Variable. Variable equals 0xFFFD if the NEXT button was selected, or 0xFFFE if the player cancels teaching a move "
028E,tutor_move_teach_in_slot,TutorMoveTeachInSlot,,
028F,tutor_move_get_price,TutorMoveGetPrice,Flex: ???; Var: Variable,
0290,scrcmd_656,CheckHeadbuttCompatibility,Flex: Party Slot; Var: Variable,Stores 1 into Variable if the Pokémon at the given Party Slot can learn Headbutt. 
0291,stat_judge,IVCheckerJudge,,
0292,buffer_stat_name,BufferStatName,,
0293,set_mon_form,SetMonForme,,
0294,buffer_trainer_name,TextTrainerName,,
0295,scrcmd_661,CMD_661,,
0296,scrcmd_662,CMD_662,,
0297,scrcmd_663,CMD_663,,
0298,scrcmd_664,CMD_664,,
0299,scrcmd_665,CMD_665,,
029A,scrcmd_666,GetCurrentMusic,Var: Variable,Returns the currently playing BGM to Variable 
029B,scrcmd_667,CMD_667,,
029C,buffer_type_name,TextTypeName,,
029D,getitemquantity,GetItemQuantity,Flex: Item; Var: Result,Returns quantity of Item to Result 
029E,get_hidden_power_type,GetHiddenPowerType,,
029F,set_favorite_mon,SetFavoriteMon,,
02A0,get_favorite_mon,GetFavoriteMon,,
02A1,get_owned_rotom_forms,GetOwnedRotomFormes,,
02A2,count_transformed_rotoms_in_party,CountTranformedRotomsInParty,,
02A3,update_rotom_form,UpdateRotomForme,,
02A4,get_party_mon_form,GetPartyPokemonForm,,
02A5,scrcmd_677,CMD_677,,
02A6,scrcmd_678,CMD_678,,
02A7,scrcmd_679,CMD_679,,
02A8,add_special_game_stat_2,CMD_680,,
02A9,scrcmd_681,CMD_681,,
02AA,scrcmd_682,CMD_682,,
02AB,get_static_encounter_outcome,GetBattleOutcome,Var: Variable,"Checks the outcome of a static encounter, like Mewtwo in Cerulean Cave, and stores the result in Variable "
02AC,scrcmd_684,GetCurrentWeather,Var: Variable,Stores the current weather in Variable 
02AD,get_player_xyz,GetPlayerPositionFull,,
02AE,scrcmd_686,WildBattleFateful,,
02AF,scrcmd_687,RegisterSeenPokemon,,
02B0,get_party_slot_with_fateful_encounter,CheckFatefulEncounter,,
02B1,comm_sanitize_party,CommSanitizeParty,,
02B2,day_care_sanitize_mon,DayCareSanitizeMon,,
02B3,scrcmd_691,CMD_691,,
02B4,buffer_battle_hall_streak,TextBattleHallStreak,,
02B5,battle_hall_count_used_species,BattleHallCountUsedSpecies,,
02B6,battle_hall_get_total_streak,BattleHallGetTotalStreak,,
02B7,scrcmd_695,CMD_695,,
02B8,scrcmd_696,CMD_696,,
02B9,scrcmd_697,CMD_697,,
02BA,follower_poke_is_event_trigger,FollowingPokemonIsEventTrigger,u8: Event; Flex: Party Position; Var: Result,Checks if the Pokémon in Party Position matches the criteria for the Event. Stores 1 in Var if true. 
02BB,scrcmd_699,CMD_699,,
02BC,scrcmd_700,CMD_700,,
02BD,mon_has_item,PokemonHasItem,,
02BE,battle_tower_setup_multi_battle,BattleTowerSetUpMultiBattle,,
02BF,set_player_volume,SetFieldVolume,,
02C0,scrcmd_704,CMD_704,,
02C1,scrcmd_705,CMD_705,,
02C2,scrcmd_706,CMD_706,,
02C3,check_mon_seen,CheckPokemonIsSeen,,
02C4,scrcmd_708,FloorTrapAnimation,,Triggers Team Rocket HQ trap-floor's graphical effect in the player's current position 
02C5,scrcmd_709,CMD_709,,
02C6,scrcmd_710,CMD_710,,
02C7,follow_mon_interact,TalkFollowingPoke,,"The following Pokémon triggers a random movement, and then a random following message "
02C8,scrcmd_712,CMD_712,,
02C9,alph_puzzle,OpenAlphaPuzzle,u8: Puzzle ID,Loads the stone-panel puzzle of Puzzle ID. 
02CA,open_alph_hidden_room,OpenRuinsofAlphHiddenRoom,u8: Room ID,"Something to do with the secret room, not the puzzle trapdoor. "
02CB,update_day_care_mon_objects,UpdateDayCareMonOverworlds,,
02CC,scrcmd_716,CMD_716,,
02CD,scrcmd_717,CMD_717,,
02CE,scrcmd_718,CMD_718,,
02CF,scrcmd_719,CMD_719,,
02D0,scrcmd_720,CMD_720,,
02D1,scrcmd_721,CMD_721,,
02D2,scrcmd_722,CMD_722,u8: ???; u8: ???; u16: ???; u16: ???; u16: ???,??? 
02D3,scrcmd_723,BoatAnimation,u8: Animation; u8: ???; u16: Header; u16: X coord; u16: Y coord,"Plays the S.S. Aqua animation of leaving the port. Animation is either 0 or 1, with 0 being Olivine and 1 being Vermilion. X and Y coordinates are for the destination map "
02D4,scrcmd_724,CMD_724,,
02D5,scrcmd_725,CMD_725,,
02D6,scrcmd_726,CMD_726,,
02D7,get_follow_poke_party_index,GetFollowingPokePartySlot,Var: Variable,Returns the following Pokémon's party slot to Variable. Crashes if there are no alive Pokémon in the party 
02D8,scrcmd_728,FollowingPokeFlash,u8: ???; u8: ???,Makes the following Pokémon flash white 
02D9,scrcmd_729,CheckPokemonAlive,Var: Variable,"Checks if player has at least 1 not fainted Pokémon, stores the result in Variable "
02DA,scrcmd_730,CheckFollowingPoke,Var: Variable,"Checks if player has a following Pokémon, stores the result in Variable. Returns False if you have a following Pokémon "
02DB,scrcmd_731,CMD_731,,??? 
02DC,scrcmd_732,AdjustFollowingPokeMood,s8: Mood,Increases or decreases following Pokémon mood with a signed 8-bit Integer. Maximum values are 127 and -127 
02DD,scrcmd_733,GetBornPokemonPartyPos,u8: Type; Var: Variable,Checks if the following Pokémon's type matches Type. Returns True if so 
02DE,scrcmd_734,FollowingPokeJump,u8: Jumps,Makes the following Pokémon jump in place Jumps number of times 
02DF,scrcmd_735,CheckKurtApricorn,Var: Result,"Checks if Kurt currently has an Apricorn for turning into a ball. If Result is 1, Kurt has an Apricorn already. "
02E0,clear_kurt_apricorn,ClearKurtApricornData,,
02E1,scrcmd_737,GetApricornBallID,Var: ID,Gets the ID of the Ball Kurt has made and returns it to Var 
02E2,get_total_apricorn_count,GetApricornCount,Var: Count,Returns how many total Apricorns you have to Var 
02E3,scrcmd_739,KurtApricornMenuScreen,,
02E4,scrcmd_740,StoreApricornJuice,,
02E5,scrcmd_741,CheckJuice,,
02E6,scrcmd_742,CMD_742,,
02E7,scrcmd_743,CMD_743,,
02E8,create_friendship_room_statues,CreatePokeathlonFriendshipRoomStatues,,
02E9,buffer_pokeathlon_course_name,TextPokeathlonCourseName,,
02EA,touchscreen_menu_hide,OpenTouchScreen,,Changes the low screen design to the green Pokéball background 
02EB,touchscreen_menu_show,CloseTouchScreen,,Sets the default low screen design 
02EC,getmenuchoice,YesNoTouchScreen,Var: Variable,"Opens a Yes-No selection, stores player's answer in Variable "
02ED,menu_init_std_gmm,MultiTouchStandardText,u8: ???; u8: ???; u8: ???; u8: ???; Var: Selection,"Prepares a multiple selection menu with text bank #191, returns selected slot ID in Selection "
02EE,menu_init,MultiTouchLocalText,u8: ???; u8: ???; u8: ???; u8: Close Status; Var: Selection,"Prepares a multiple selection menu with local texts, returns selected slot ID in Selection. If Close Status is 1, pressing B will automatically select the last option in the list. "
02EF,menu_item_add,CreateMultiTouchBox,Flex: Text Slot; Flex: Top Screen Text; Flex: Multi Box Slot,Adds a box with Multi Box Slot ID showing Text Slot text on the bottom screen and Top Screen Text on the top in a message box. Text depends on whether you use MultiTouchStandardText or MultiTouchLocalText 
02F0,menu_exec,CloseMultiTouch,,Closes the multiple selection boxes 
02F1,scrcmd_rock_smash_item_check,RockSmashItemCheck,Flex: Following Poke Status; Var: Result; Var: Item,"Checks if an item was generated after using Rock Smash. If Following Poke Status is 0, the bonus granted from the following Pokémon being present is not granted. If an item is generated, Result equals TRUE. The item is returned to Item "
02F2,try_headbutt_encounter,HeadbuttEncounter,Var: Variable,"Tries to generate a Headbutt encounter. If an encounter is generated, Variable is set to TRUE "
02F3,legend_cutscene_clear_bell_anim_begin,CMD_755,,
02F4,legend_cutscene_clear_bell_anim_end,CMD_756,,
02F5,legend_cutscene_clear_bell_rise_from_bag,CMD_757,,
02F6,legend_cutscene_clear_bell_shimmer,CMD_758,,
02F7,legend_cutscene_lugia_eye_glimmer_effect,CMD_759,,
02F8,scrcmd_760,CMD_760,,
02F9,legend_cutscene_move_camera_to,CMD_761,,
02FA,legend_cutscene_pan_camera_to,CMD_762,,
02FB,legend_cutscene_wait_camera_pan,CMD_763,,
02FC,legend_cutscene_bird_final_approach,CMD_764,,
02FD,legend_cutscene_waves_or_leaves_effect_begin,CMD_765,,
02FE,legend_cutscene_waves_or_leaves_effect_end,CMD_766,,
02FF,legend_cutscene_lugia_arrives_effect_begin,CMD_767,,??? 
0300,legend_cutscene_lugia_arrives_effect_end,CMD_768,,
0301,legend_cutscene_lugia_arrives_effect_camera_pan,CMD_769,,
0302,check_seen_all_letter_unown,CMD_770,,
0303,scrcmd_771,CMD_771,,
0304,scrcmd_772,CMD_772,,
0305,cinematic,RenderCutscene,???: ???,Renders a cutscene 0 = Ho-Oh appearing from the sky 1 = Lugia bursting out of the waterfall 2 = Arceus stock image cutscene 
0306,show_legendary_wing,ShowLegendaryWing,u16: Wing,Shows the Rainbow Wing (0) or the Silver Wing (1) above the player 
0307,scrcmd_775,CMD_775,,
0308,give_togepi_egg,GiveTogepiEgg,,Gives an egg containing a Togepi that knows Extrasensory 
0309,scrcmd_777,CMD_777,,
030A,give_spiky_ear_pichu,GiveSpikyEaredPichu,,Gives the player a Pichu in Spiky-Eared form 
030B,radio_music_is_playing,CheckCurrentRadioSong,Flex: Seq; Var: Result,Stores 1 in Result if the current Seq is playing from the Pokégear radio. Stores 0 otherwise. 
030C,casino_game,OpenVoltorbFlip,,
030D,kenya_check_party_or_mailbox,KenyaCheckPartyOrMailbox,,
030E,mart_sell,MartSell,,??? 
030F,set_follow_mon_inhibit_state,SetFollowingPokeStatus,u8: Status,0 = Following Pokémon allowed 1 = Following Pokémon unallowed 
0310,script_overlay_cmd,OverlayManager,u8: Overlay; u8: Action,"If Action is 0, load an overlay from the list in the Notes column. Otherwise, unload the overlay "
0311,bug_contest_action,BugContestControl,u8: Action; Flex: Day,"If Action is 0, check to initialize the Bug Catching Contest based on Day. Otherwise, end the Bug Catching Contest "
0312,buffer_bug_contest_winner,TextBugContestPlacement,u8: Rank,"Stores the name of the person that placed in rank Rank. If the player places at rank Rank, the player's name is stored in string buffer 0. If another Trainer places at rank Rank, the Trainer Class and Trainer name are stored in string buffers 2 and 0 respectively. The obtained Pokemon is stored in string buffer 1, and the score is stored in string buffer 3 "
0313,judge_bug_contest,BugContestResults,Flex: Ranking; Flex: Item; Flex: Species,Generates the results of the Bug Catching Contest 
0314,buffer_bug_contest_mon_nick,TextBugContestPokeNickname,u8: String Buffer; Var: Variable,Stores the name of the captured bug from the Bug Catching Contest in String Buffer. Returns 1 to Variable if the party is already full 
0315,scrcmd_789,TextBugContestRemainingTime,u8: String Buffer,Stores remaining time in the Bug Catching Contest in String Buffer 
0316,is_npc_bug_contestant_registered,CheckBugContestParticipant,Flex: Participant; Var: Variable,Checks if the Participant is participating in the Bug Catching Contest. Returns 1 if true to Variable. 
0317,scrcmd_791,CMD_791,,
0318,scrcmd_792,CMD_792,,
0319,bank_transaction,TakeMomMoney,,
031A,check_bank_balance,CheckMomMoneyBalance,,
031B,scrcmd_795,ShowMomMoney,Flex: X; Flex: Y,Shows mom savings money box at X and Y coordinates of the screen 
031C,scrcmd_796,HideMomMoney,,Hides mom savings money box 
031D,scrcmd_797,CMD_797,,
031E,buffer_ruleset_name,TextRulesetName,,
031F,scrcmd_799,CMD_799,,
0320,scrcmd_800,CMD_800,,
0321,scrcmd_801,CMD_801,,
0322,scrcmd_802,CMD_802,,
0323,scrcmd_803,CMD_803,,
0324,scrcmd_804,UpdateTownMap,u8(?): Map Type,"Updates the town map to include Kanto 1 = Normal, Johto-only view 2 = Whole map, Kanto included "
0325,scrcmd_805,CMD_805,,
0326,scrcmd_806,CMD_806,,
0327,set_trainer_house_sprite,CMD_807,,
0328,scrcmd_808,CMD_808,,
0329,show_trainer_house_intro_message,CMD_809,,
032A,scrcmd_810,CelebiTimeTravelAnimation,,
032B,scrcmd_811,CMD_811,,
032C,scrcmd_812,CMD_812,,
032D,mom_gift_check,CheckMomGift,Var: Variable,Checks if there is currently a gift from Mom to be picked up 
032E,scrcmd_814,CMD_814,,
032F,scrcmd_815,CMD_815,,u16: ??? 
0330,unown_circle,UnownCircle,,
0331,scrcmd_817,CMD_817,,
0332,mystry_stage_gymmick_init,InitMystriStageAnimation,,
0333,scrcmd_819,CMD_819,,
0334,scrcmd_820,CMD_820,,
0335,get_buenas_password,GetBuenasPassword,,
0336,scrcmd_822,CMD_822,,
0337,scrcmd_823,CMD_823,,
0338,scrcmd_824,CMD_824,,
0339,get_shiny_leaf_count,GetShinyLeafCount,,
033A,try_give_shiny_leaf_crown,TryGiveShinyLeafCrown,,
033B,get_partymon_form,CheckPartyPokemonForm,Flex: Party Slot; Var: Variable,Checks what form Pokémon at Party Slot position has. The Variable stores the form ID. 
033C,mon_add_contest_value,CMD_828,,
033D,scrcmd_829,CheckFollowingPokeNextToPlayer,Var: Variable,Checks if the following Pokémon is next to the player in any direction 
033E,scrcmd_830,CMD_830,,
033F,scrcmd_831,CMD_831,,
0340,scrcmd_832,CMD_832,,
0341,scrcmd_833,CMD_833,,
0342,scrcmd_834,CMD_834,Var: Variable,??? 
0343,scrcmd_835,CMD_835,Var: Variable,??? 
0344,scrcmd_836,CheckJadeOrbRequirements,Var: Variable,"Stores 1 in Variable if player has both Kyogre and Groudon in the Pokémon party and they have been caught in Johto, stores 0 otherwise "
0345,scrcmd_837,CMD_837,Var: Variable,??? 
0346,bank_or_wallet_is_full,CheckMoneyFull,u16: Money Account; Var: Variable,Stores 1 in Variable if the chosen money account is full. Money account 0 = Mom's savings; Money account 1 = Player; 
0347,sys_set_sleep_flag,SystemSetSleepFlag,,
0348,ScrCmd_840,CMD_840,,
0349,ScrCmd_841,CMD_841,u8: ???,
034B,buffer_item_name_indef,TextItemLowercase,u8: String Buffer; Flex: Item,Stores Item's lowercase name in String Buffer 
034C,buffer_item_name_plural,TextItemPlural,u8: String Buffer; Flex: Item,Stores Item's plural noun in String Buffer 
034D,buffer_party_mon_species_name_indef,TextPartyPokemonDefault,u8: String Buffer; Flex: Party position,Stores the name of the Pokémon in Party Position in String Buffer with default color tags encoding 
034E,buffer_species_name_indef,CMD_846,u8: ???; Flex: ???; Flex: ???; u8: ???,
0351,buffer_trainer_class_name_indef,TextTrainerClass,u8: String Buffer; Flex: Trainer class,Stores Trainer class' lowercase noun in String Buffer 
0352,buffer_seal_name_plural,TextSealPlural,u8: String Buffer; Flex: Seal,Stores Seal's plural noun in String Buffer 
0353,capitalize,TextCapitalize,u8: String Buffer,Capitalizes the string currently stored in String Buffer 
0354,buffer_dept_store_floor_no,TextFloor,u8: String Buffer; u8: Floor,Stores Floor's name in String Buffer 
